Measure Mode: wall_time
Thread ID: 70260376312800
Fiber ID: 70260376849000
Total: 293.011880
Sort by: self_time

 %self      total      self      wait     child     calls  name
  5.29    177.728    15.501     0.000   162.228        1   Integer#times
  5.14     19.297    15.056     0.000     4.240  3000379   Array#each
  4.91     77.143    14.381     0.000    62.762 13999998  *Class#new
  4.75    293.012    13.926     0.000   279.086        3   Global#[No method]
  4.71     57.878    13.802     0.000    44.076  2000000   Rack::Response#initialize
  4.53    254.404    13.285     0.000   241.119  2000000   Profiler#measure
  4.46     13.077    13.077     0.000     0.000  4000000   String#sub!
  3.87     23.587    11.333     0.000    12.255  3000000   Rack::App::Utils#normalize_path
  3.16    207.135     9.265     0.000   197.870  3000000   Rack::App::Router::Base#call
  2.26      9.051     6.636     0.000     2.415  2000000   Rack::Utils::HeaderHash#[]=
  2.11     14.665     6.182     0.000     8.483  2000000   Rack::App::Router::Static#fetch_context
  1.98      8.731     5.810     0.000     2.920  2000000   Rack::Utils::HeaderHash#initialize
  1.96    131.832     5.755     0.000   126.077  2000000   Rack::App::Endpoint#execute
  1.93     21.104     5.663     0.000    15.441  2000000   Rack::Response#write
  1.85     18.083     5.420     0.000    12.663  2000000   Rack::Response#finish
  1.84     11.157     5.384     0.000     5.773  3000000   Kernel#dup
  1.79      7.159     5.256     0.000     1.903  2000000   ProgressBar#show_if_needed
  1.61     21.615     4.727     0.000    16.888  2000000   Rack::App::RequestConfigurator#path_info
  1.42      5.313     4.173     0.000     1.140  7999999   Kernel#respond_to?
  1.36      3.971     3.971     0.000     0.000  3000000   Hash#initialize_copy
  1.30      5.246     3.801     0.000     1.445  2000000   Array#hash
  1.29     30.808     3.771     0.000    27.037  2000000   Rack::App::Endpoint#set_response_body
  1.27    238.779     3.730     0.000   235.049  2000000   Rack::App::SingletonMethods::RackInterface#call
  1.26     11.781     3.701     0.000     8.080  2000000   Rack::App::Endpoint#get_response_body
  1.24      3.638     3.638     0.000     0.000  2000000   Kernel#lambda
  1.17      3.414     3.414     0.000     0.000 13000000   Kernel#hash
  1.15      3.363     3.363     0.000     0.000  4000000   String#downcase
  1.09      3.199     3.199     0.000     0.000  3000000   String#squeeze!
  1.01     33.400     2.971     0.000    30.428  1000000   Rack::App::Router::Dynamic#fetch_context
  1.00     11.289     2.920     0.000     8.369  1000000   Rack::App::Router::Dynamic#format_env
  0.96      6.379     2.824     0.000     3.555  2000000   Rack::Utils::HeaderHash#[]
  0.95      5.128     2.787     0.000     2.340  2000000   Rack::App::ErrorHandler#execute_with_error_handling_for
  0.91     14.396     2.670     0.000    11.726  2000000   <Class::Rack::Utils::HeaderHash>#new
  0.91     11.925     2.652     0.000     9.273  2000000   Rack::Utils::HeaderHash#merge
  0.89    134.453     2.621     0.000   131.832  6000000  *Proc#call
  0.87      2.546     2.546     0.000     0.000  1000379   String#split
  0.78    209.425     2.290     0.000   207.135  2000000   Rack::App::Router#call
  0.77      3.794     2.269     0.000     1.525  2000000   Array#include?
  0.77     23.871     2.256     0.000    21.615  2000000   Rack::App::RequestConfigurator#configure
  0.76      2.226     2.226     0.000     0.000 10000000   Integer#to_i
  0.76      2.219     2.219     0.000     0.000  2000000   Rack::BodyProxy#initialize
  0.67      1.960     1.960     0.000     0.000  2000000   Hash#initialize
  0.65      1.915     1.915     0.000     0.000  2000000   Fixnum#to_s
